ID,Base_FormatAuto,Base_OCR,Base_Semantics,Base_Avg,Ckpt75_FormatAuto,Ckpt75_OCR,Ckpt75_Semantics,Ckpt75_Avg,Ckpt140_FormatAuto,Ckpt140_OCR,Ckpt140_Semantics,Ckpt140_Avg,Judge_Reason
1,8,8,8,8.0,8,10,10,9.3333,8,9,8,8.3333,模型 A 表现最佳。在语义方面，模型 A 准确地将 SfM 识别为摄影测量（Photogrammetry），而模型 B 和 C 错误地将其翻译/解释为“结构光”（Structured Light），这是两种不同的技术。在 OCR 方面，模型 A 提取完整，且注意到了图例中 'Random Stones' 和 'Random Stone' 的细微差别。模型 C 遗漏了页眉信息，且将 'Chun castle' 过度翻译为“春秋城堡”，存在幻觉。
2,8,8,9,8.3333,8,10,9,9.0,8,8,9,8.3333,模型 A 在 OCR 部分表现最佳，因为它不仅提取了文档正文内容，还正确提取了显著的 'WORKING DOCUMENT' 水印文字，而模型 B 和 C 在文字提取部分均遗漏了这一关键信息。三个模型在语义理解（分类、摘要、视觉描述）方面都表现准确，能够正确识别文档类型、案件信息及视觉特征。
3,8,10,9,9.0,8,10,10,9.3333,8,8,9,8.3333,模型 A 和 C 的 OCR 提取非常完整，包含了所有细微的印刷信息（如印刷商地址、无障碍服务说明等）。模型 B 遗漏了印刷商的具体地址和一句关于个别请求的说明。在语义理解方面，模型 A 对视觉细节的描述最为精准，特别是准确指出了底部合作伙伴 Logo 的具体颜色，优于模型 C 的概括性描述。
4,8,9,9,8.6667,8,7,8,7.6667,8,6,8,7.3333,"Model C is the best performer. It provides the most comprehensive OCR, capturing the full body text paragraph and the complete footnote (including the second statistical test), whereas Models A and B only capture fragments. Model C also correctly spells 'Outsiderness', while A and B introduce a typo ('Outsidersness'). Semantically, all models are accurate, but C's visual description is slightly more detailed regarding the specific labels in the charts."
5,8,9,9,8.6667,8,7,8,7.6667,8,7,8,7.6667,模型 A 在 OCR 方面表现最佳，它不仅提取了图表和标题信息，还非常详尽地提取了正文中密集的关键数值（如基尼系数的具体变化值），这对于此类数据密集的学术页面至关重要。在语义理解方面，模型 A 准确描述了图表的线条样式（实线/虚线）且没有 hallucinate 颜色（图片为黑白），而模型 B 和 C 均错误地描述了虚线为“蓝色”。模型 A 的摘要也很好地涵盖了正文中的思想实验和随机匹配等核心逻辑。
6,8,9,8,8.3333,8,7,8,7.6667,8,9,9,8.6667,模型 C 表现最佳。在 OCR 方面，模型 C 和 B 都完整提取了底部的版权声明和联系方式，而模型 A 遗漏了较长的版权声明部分且将 'BBSA' 误识为 'BBSAA'。在语义和视觉描述方面，模型 C 和 A 都准确指出了图片主体为黑白/去色处理但底部横幅为深青色，而模型 B 错误地描述整体色调为黑白灰。此外，模型 C 在摘要中准确指出了产品名称为 '褶皱百叶窗 (pleated blind)'，比 A 和 B 更精确。
7,5,6,9,6.6667,8,8,10,8.6667,8,10,10,9.3333,"模型 A 的 OCR 提取最为完整，准确提取了所有主要流程文本以及所有的排除/分支文本（如 'No response...', 'Ineligible patient...' 等），且没有遗漏。模型 C 的语义理解很好，但在 OCR 部分对长文本使用了省略号，不如 A 精确。模型 B 在 OCR 部分遗漏了顶部的几个排除条件文本框（'No response...', 'Ineligible patient...' 等），完整性较差。三个模型的语义摘要和分类都非常准确。"
8,0,8,7,5.0,8,2,4,4.6667,8,9,9,8.6667,模型 A 表现最佳。它提供了结构清晰、内容准确的回答。在 OCR 方面，它详细提取了图表的坐标轴、图例和标题信息；在语义方面，它准确描述了图表内容，没有过度解读数据趋势（特别是 Figure 11 中数据并非单调递增）。模型 B 输出格式混乱，包含了类似“修正与润色”的中间思考过程，且“文字提取”部分仅描述了动作而未列出实际文字，属于严重失误。模型 C 整体不错，提取了参考文献列表，但在语义部分对 Figure 11 的解读（称坏疽发生率“显著增加”）与图像视觉信息不完全符（最高组别蓝色柱状图反而极低），存在 hallucination。
9,8,7,8,7.6667,8,9,9,8.6667,8,8,9,8.3333,"模型 C 的 OCR 提取最为全面，不仅涵盖了流程图中的所有主要节点（包括上半部分的管理循环和下半部分的生产流程），还提取了连接线上的小字（如 RFQ, Negotiations）、正文中的参考编号（QMSP-1012）以及页脚信息。模型 B 表现也不错，提取了大部分节点，但遗漏了连接线上的文字和页脚。模型 A 遗漏了流程图上半部分的许多关键管理节点（如 Mgmt Review, Analysis Of Data 等）以及页脚信息。在语义理解方面，三个模型都准确识别了文档类型和核心内容，模型 B 和 C 在视觉细节描述上略优于 A（如提到节点形状、字体等）。"
10,8,6,8,7.3333,8,7,8,7.6667,8,9,9,8.6667,模型 C 在 OCR 方面表现最好，提取了最完整的 URL 列表（模型 A 遗漏了多个，模型 B 未列出 URL）。在语义理解上，模型 C 正确指出了表格有 6 列（模型 A 和 B 错误地说是 5 列），并且注意到了图片的旋转方向。模型 B 虽然对条目进行了很好的分组归纳，但作为文字提取任务，遗漏 URL 是较大的失分点。
